group_id,canonical_name,canonical_unit,variant_count,test_name,unit
Эритроциты [10*12/л],Эритроциты,10*12/л,7,Эритроциты,10*12/л
Эритроциты [10*12/л],Эритроциты,10*12/л,7,Эритроциты,10^12/л
Эритроциты [10*12/л],Эритроциты,10*12/л,7,Эритроциты,млн/мкл
Эритроциты [10*12/л],Эритроциты,10*12/л,7,Эритроциты,х10^12/л
Эритроциты [10*12/л],Эритроциты,10*12/л,7,(RBC) Эритроциты,10*12/л
Эритроциты [10*12/л],Эритроциты,10*12/л,7,Количество эритроцитов,10^12/л
Эритроциты [10*12/л],Эритроциты,10*12/л,7,Эритроциты,x10*12/л
Базофилы [10*9/л],Базофилы,10*9/л,6,Базофилы,10*9/л
Базофилы [10*9/л],Базофилы,10*9/л,6,Базофилы,тыс/мкл
Базофилы [10*9/л],Базофилы,10*9/л,6,Базофилы,х10^9/л
Базофилы [10*9/л],Базофилы,10*9/л,6,(BAS#) Базофилы,10*9/л
Базофилы [10*9/л],Базофилы,10*9/л,6,Абсолютное количество базофилов,10^9/л
Базофилы [10*9/л],Базофилы,10*9/л,6,Базофилы,10^9/л
Лейкоциты [10*9/л],Лейкоциты,10*9/л,6,Лейкоциты,10*9/л
Лейкоциты [10*9/л],Лейкоциты,10*9/л,6,Лейкоциты,тыс/мкл
Лейкоциты [10*9/л],Лейкоциты,10*9/л,6,Лейкоциты,10^9/л
Лейкоциты [10*9/л],Лейкоциты,10*9/л,6,Лейкоциты,х10^9/л
Лейкоциты [10*9/л],Лейкоциты,10*9/л,6,(WBC) Лейкоциты,10*9/л
Лейкоциты [10*9/л],Лейкоциты,10*9/л,6,Количество лейкоцитов,10^9/л
Лимфоциты [10*9/л],Лимфоциты,10*9/л,6,Лимфоциты,10*9/л
Лимфоциты [10*9/л],Лимфоциты,10*9/л,6,Лимфоциты,10^9/л
Лимфоциты [10*9/л],Лимфоциты,10*9/л,6,Лимфоциты,тыс/мкл
Лимфоциты [10*9/л],Лимфоциты,10*9/л,6,Лимфоциты,х10^9/л
Лимфоциты [10*9/л],Лимфоциты,10*9/л,6,(LYM#) Лимфоциты,10*9/л
Лимфоциты [10*9/л],Лимфоциты,10*9/л,6,Абсолютное количество лимфоцитов,10^9/л
Моноциты [10*9/л],Моноциты,10*9/л,6,Моноциты,10*9/л
Моноциты [10*9/л],Моноциты,10*9/л,6,Моноциты,тыс/мкл
Моноциты [10*9/л],Моноциты,10*9/л,6,Моноциты,х10^9/л
Моноциты [10*9/л],Моноциты,10*9/л,6,(MONO#) Моноциты,10*9/л
Моноциты [10*9/л],Моноциты,10*9/л,6,Абсолютное количество моноцитов,10^9/л
Моноциты [10*9/л],Моноциты,10*9/л,6,Моноциты,10^9/л
Нейтрофилы [10*9/л],Нейтрофилы,10*9/л,6,Нейтрофилы,10*9/л
Нейтрофилы [10*9/л],Нейтрофилы,10*9/л,6,Нейтрофилы,10^9/л
Нейтрофилы [10*9/л],Нейтрофилы,10*9/л,6,Нейтрофилы,тыс/мкл
Нейтрофилы [10*9/л],Нейтрофилы,10*9/л,6,Нейтрофилы,х10^9/л
Нейтрофилы [10*9/л],Нейтрофилы,10*9/л,6,(NEU#) Нейтрофилы,10*9/л
Нейтрофилы [10*9/л],Нейтрофилы,10*9/л,6,Абсолютное количество нейтрофилов,10^9/л
Тромбоциты [10*9/л],Тромбоциты,10*9/л,6,Тромбоциты,10*9/л
Тромбоциты [10*9/л],Тромбоциты,10*9/л,6,Тромбоциты,тыс/мкл
Тромбоциты [10*9/л],Тромбоциты,10*9/л,6,Тромбоциты,10^9/л
Тромбоциты [10*9/л],Тромбоциты,10*9/л,6,Тромбоциты,х10^9/л
Тромбоциты [10*9/л],Тромбоциты,10*9/л,6,(PLT) Тромбоциты,10*9/л
Тромбоциты [10*9/л],Тромбоциты,10*9/л,6,Количество тромбоцитов,10^9/л
Эозинофилы [10*9/л],Эозинофилы,10*9/л,6,Эозинофилы,10*9/л
Эозинофилы [10*9/л],Эозинофилы,10*9/л,6,Эозинофилы,тыс/мкл
Эозинофилы [10*9/л],Эозинофилы,10*9/л,6,Эозинофилы,х10^9/л
Эозинофилы [10*9/л],Эозинофилы,10*9/л,6,(EOS#) Эозинофилы,10*9/л
Эозинофилы [10*9/л],Эозинофилы,10*9/л,6,Абсолютное количество эозинофилов,10^9/л
Эозинофилы [10*9/л],Эозинофилы,10*9/л,6,Эозинофилы,10^9/л
Средний объем эритроцита [фл],Средний объем эритроцита,фл,5,Ср.объем эритроцита,фл
Средний объем эритроцита [фл],Средний объем эритроцита,фл,5,Средний объем эритроцита,фл
Средний объем эритроцита [фл],Средний объем эритроцита,фл,5,MCV,фл
Средний объем эритроцита [фл],Средний объем эритроцита,фл,5,Средний объём эритроцита,фл
Средний объем эритроцита [фл],Средний объем эритроцита,фл,5,(MCV) Ср.объем эритроцита,фл
Лимфоциты [%],Лимфоциты,%,4,Лимфоциты,%
Лимфоциты [%],Лимфоциты,%,4,(LYM%) Лимфоциты,%
Лимфоциты [%],Лимфоциты,%,4,Лимфоциты %,%
Лимфоциты [%],Лимфоциты,%,4,Относительное количество лимфоцитов,%
Моноциты [%],Моноциты,%,4,Моноциты,%
Моноциты [%],Моноциты,%,4,(MONO%) Моноциты,%
Моноциты [%],Моноциты,%,4,Моноциты %,%
Моноциты [%],Моноциты,%,4,Относительное количество моноцитов,%
СОЭ [мм/час],СОЭ,мм/час,4,СОЭ,мм/час
СОЭ [мм/час],СОЭ,мм/час,4,СОЭ,мм/ч
СОЭ [мм/час],СОЭ,мм/час,4,Скорость оседания эритроцитов,мм/час
СОЭ [мм/час],СОЭ,мм/час,4,Скорость оседания эритроцитов,мм/ч
Средняя концентрация гемоглобина в эритроците [г/л],Средняя концентрация гемоглобина в эритроците,г/л,4,Ср. концентрация гемоглобина в эритроците,г/л
Средняя концентрация гемоглобина в эритроците [г/л],Средняя концентрация гемоглобина в эритроците,г/л,4,Средняя концентрация гемоглобина в эритроците,г/л
Средняя концентрация гемоглобина в эритроците [г/л],Средняя концентрация гемоглобина в эритроците,г/л,4,Средняя концентрация гемоглобина в эритроцитах,г/л
Средняя концентрация гемоглобина в эритроците [г/л],Средняя концентрация гемоглобина в эритроците,г/л,4,(MCHC)Ср. концентрация гемоглобина в эритроците,г/л
Базофилы [%],Базофилы,%,3,Базофилы,%
Базофилы [%],Базофилы,%,3,(BAS%) Базофилы,%
Базофилы [%],Базофилы,%,3,Относительное количество базофилов,%
Нейтрофилы [%],Нейтрофилы,%,3,Нейтрофилы,%
Нейтрофилы [%],Нейтрофилы,%,3,(NEU%) Нейтрофилы,%
Нейтрофилы [%],Нейтрофилы,%,3,Относительное количество нейтрофилов,%
Нормобласты [10*9/л],Нормобласты,10*9/л,3,Абсолютное количество нормобластов,10*9/л
Нормобласты [10*9/л],Нормобласты,10*9/л,3,Абсолютное количество нормобластов,10^9/л
Нормобласты [10*9/л],Нормобласты,10*9/л,3,Нормобласты,10*9/л
Нормобласты [%],Нормобласты,%,3,Нормобласты,%
Нормобласты [%],Нормобласты,%,3,Относительное количество нормобластов,%
Нормобласты [%],Нормобласты,%,3,Относительное количество нормобластов,количество/100 клеток
Среднее содержание гемоглобина в эритроците [пг],Среднее содержание гемоглобина в эритроците,пг,3,Среднее содержание гемоглобина в эритроците,пг
Среднее содержание гемоглобина в эритроците [пг],Среднее содержание гемоглобина в эритроците,пг,3,MCH,пг
Среднее содержание гемоглобина в эритроците [пг],Среднее содержание гемоглобина в эритроците,пг,3,(MCH) Среднее содержание гемоглобина в эритроците,пг
Ширина распределения эритроцитов [%],Ширина распределения эритроцитов,%,3,Ширина распределения эритроцитов,%
Ширина распределения эритроцитов [%],Ширина распределения эритроцитов,%,3,RDW,%
Ширина распределения эритроцитов [%],Ширина распределения эритроцитов,%,3,(RDW-CV)Ширина распределения эритроцитов,%
Эозинофилы [%],Эозинофилы,%,3,Эозинофилы,%
Эозинофилы [%],Эозинофилы,%,3,(EOS%) Эозинофилы,%
Эозинофилы [%],Эозинофилы,%,3,Относительное количество эозинофилов,%
pH [pH],pH,pH,2,pH,pH
pH [pH],pH,pH,2,pH,ед. pH
Аланинаминотрансфераза [Ед/л],Аланинаминотрансфераза,Ед/л,2,Аланинаминотрансфераза,Ед/л
Аланинаминотрансфераза [Ед/л],Аланинаминотрансфераза,Ед/л,2,АлАТ,Ед/л
Билирубин прямой [мкмоль/л],Билирубин прямой,мкмоль/л,2,Билирубин прямой,мкмоль/л
Билирубин прямой [мкмоль/л],Билирубин прямой,мкмоль/л,2,Билирубин прямой (конъюгированный),мкмоль/л
Гематокрит [%],Гематокрит,%,2,Гематокрит,%
Гематокрит [%],Гематокрит,%,2,(HCT) Гематокрит,%
Гемоглобин [г/л],Гемоглобин,г/л,2,Гемоглобин,г/л
Гемоглобин [г/л],Гемоглобин,г/л,2,(HGB) Гемоглобин,г/л
Лейкоциты [п/зр],Лейкоциты,п/зр,2,Лейкоциты,п/зр.
Лейкоциты [п/зр],Лейкоциты,п/зр,2,Лейкоциты,п/зр
Общий объем тромбоцитов в крови [%],Общий объем тромбоцитов в крови,%,2,Общий объем тромбоцитов в крови,%
Общий объем тромбоцитов в крови [%],Общий объем тромбоцитов в крови,%,2,Тромбоцитокрит,%
Общий объем тромбоцитов в крови (тромбоцитокрит) [%],Общий объем тромбоцитов в крови (тромбоцитокрит),%,2,Общий объем тромбоцитов в крови (тромбоцитокрит),%
Общий объем тромбоцитов в крови (тромбоцитокрит) [%],Общий объем тромбоцитов в крови (тромбоцитокрит),%,2,(PCT) Общий объем тромбоцитов в крови (тромбоцитокрит),%
Процент крупных тромбоцитов [%],Процент крупных тромбоцитов,%,2,Процент крупных тромбоцитов,%
Процент крупных тромбоцитов [%],Процент крупных тромбоцитов,%,2,(P-LCR) Процент крупных тромбоцитов,%
Средний объем тромбоцитов [фл],Средний объем тромбоцитов,фл,2,Средний объем тромбоцитов,фл
Средний объем тромбоцитов [фл],Средний объем тромбоцитов,фл,2,(MPV) Средний объем тромбоцитов,фл
Тироксин свободный [пмоль/л],Тироксин свободный,пмоль/л,2,Т4 свободный,пмоль/л
Тироксин свободный [пмоль/л],Тироксин свободный,пмоль/л,2,Тироксин свободный,пмоль/л
Трийодтиронин свободный [пмоль/л],Трийодтиронин свободный,пмоль/л,2,Т3 свободный,пмоль/л
Трийодтиронин свободный [пмоль/л],Трийодтиронин свободный,пмоль/л,2,Трийодтиронин свободный,пмоль/л
Ширина распределения тромбоцитов по объему [фл],Ширина распределения тромбоцитов по объему,фл,2,Ширина распределения тромбоцитов по объему,фл
Ширина распределения тромбоцитов по объему [фл],Ширина распределения тромбоцитов по объему,фл,2,(PDW) Ширина распределения тромбоцитов по объему,фл
Ширина распределения эритроцитов [фл],Ширина распределения эритроцитов,фл,2,Ширина распределения эритроцитов,фл
Ширина распределения эритроцитов [фл],Ширина распределения эритроцитов,фл,2,(RDW-SD)Ширина распределения эритроцитов,фл
Эритроциты [п/зр],Эритроциты,п/зр,2,Эритроциты,п/зр.
Эритроциты [п/зр],Эритроциты,п/зр,2,Эритроциты,п/зр
