test_name,unit
Лимфоциты,%
Базофилы,%
Базофилы,10*9/л
Лейкоциты,10*9/л
Моноциты,%
Нейтрофилы,%
Эозинофилы,%
Эозинофилы,10*9/л
Тромбоциты,10*9/л
Процент крупных тромбоцитов,%
Среднее содержание гемоглобина в эритроците,пг
Средний объем тромбоцитов,фл
Ширина распределения тромбоцитов по объему,фл
Ширина распределения эритроцитов,%
Ширина распределения эритроцитов,фл
Абс количество нормобластов,10*9/л
Гематокрит,%
Гемоглобин,г/л
Лимфоциты,10*9/л
Моноциты,10*9/л
Нейтрофилы,10*9/л
Отн количество нормобластов,%
Эритроциты,10*12/л
Билирубин общий,мкмоль/л
Альфа-амилаза,МЕ/л
Глюкоза (венозной крови) (натощак),ммоль/л
Общий белок,г/л
Общий объем тромбоцитов в крови (тромбоцитокрит),%
С-реактивный белок,мг/л
Ср. концентрация гемоглобина в эритроците,г/л
Ср.объем эритроцита,фл
pH,pH
Белок,г/л
СОЭ,мм/час
Мочевина,ммоль/л
Общий объем тромбоцитов в крови,%
Средний объем эритроцита,фл
Средняя концентрация гемоглобина в эритроците,г/л
Тиреотропный гормон (ТТГ),мМЕ/л
MCH,пг
RDW,%
Аланинаминотрансфераза (АЛТ),Ед/л
Аспартатаминотрансфераза (АСТ),Ед/л
Базофилы,тыс/мкл
Глюкоза,ммоль/л
Креатинин,мкмоль/л
Лейкоциты,п/зр.
Лейкоциты,тыс/мкл
Моноциты,тыс/мкл
Относительная плотность,г/мл
Тромбоциты,тыс/мкл
Холестерин общий,ммоль/л
Эозинофилы,тыс/мкл
Эритроциты,п/зр.
Аланинаминотрансфераза,Ед/л
Аспартатаминотрансфераза,Ед/л
Тироксин свободный (Т4),пмоль/л
Трийодтиронин свободный (Т3),пмоль/л
Уробилиноген,мкмоль/л
MCV,фл
PH мочи,
Trichomonas vaginalis,
pH,
pH,ед. pH
Базофилы,х10^9/л
Бактерии,в 1 мкл
Билирубин,мкмоль/л
Билирубин непрямой,мкмоль/л
Билирубин прямой,мкмоль/л
Билирубин прямой (конъюгированный),мкмоль/л
Витамин В12,пг/мл
Гамма-глутамилтрансфераза (ГГТ),МЕ/л
Гемоглобин,г/дл
Гиалиновые цилиндры,в 1 мкл
Грибы,в 1 мкл
Кетоновые тела,ммоль/л
Клетки плоского эпителия,кл/мкл
Кристаллы,в 1 мкл
Лейкоциты,10^9/л
Лейкоциты,кл/мкл
Лейкоциты,х10^9/л
Лимфоциты,10^9/л
Лимфоциты,тыс/мкл
Лимфоциты,х10^9/л
Липаза,Ед/л
Моноциты,х10^9/л
Нейтрофилы,10^9/л
Нейтрофилы,тыс/мкл
Нейтрофилы,х10^9/л
Относительная плотность,г/л
Палочкоядерные нейтрофилы,%
Плотность,
СОЭ,мм/ч
Сегментоядерные нейтрофилы,%
Скорость оседания эритроцитов,мм/час
Слизь,в 1 мкл
Средний объём эритроцита,фл
Средняя концентрация гемоглобина в эритроцитах,г/л
Т3 свободный,пмоль/л
Т4 свободный,пмоль/л
ТТГ,мкМЕ/мл
Тиреотропный гормон (ТТГ),мкМЕ/мл
Триглицериды,ммоль/л
Тромбокрит,%
Тромбоцитокрит,%
Тромбоциты,10^9/л
Тромбоциты,х10^9/л
Холестерин-ЛПВП,ммоль/л
Холестерин-ЛПНП,ммоль/л
Холестерин-ЛПНП (липопротеины низкой плотности),ммоль/л
Цилиндры гиалиновые,п/зр.
Цилиндры патологические,в 1 мкл
Ширина распределения эритроцитов по объему,%
Ширина распределения эритроцитов по объему,фл
Эозинофилы,х10^9/л
Эпителий переходный,кл/мкл
Эпителий плоский,п/зр.
Эпителий почечный,кл/мкл
Эритроциты,10^12/л
Эритроциты,кл/мкл
Эритроциты,млн/мкл
Эритроциты,х10^12/л
(BAS#) Базофилы,10*9/л
(BAS%) Базофилы,%
(EOS#) Эозинофилы,10*9/л
(EOS%) Эозинофилы,%
(HCT) Гематокрит,%
(HGB) Гемоглобин,г/л
(LYM#) Лимфоциты,10*9/л
(LYM%) Лимфоциты,%
(MCH) Среднее содержание гемоглобина в эритроците,пг
(MCHC)Ср. концентрация гемоглобина в эритроците,г/л
(MCV) Ср.объем эритроцита,фл
(MONO#) Моноциты,10*9/л
(MONO%) Моноциты,%
(MPV) Средний объем тромбоцитов,фл
(NEU#) Нейтрофилы,10*9/л
(NEU%) Нейтрофилы,%
(P-LCR) Процент крупных тромбоцитов,%
(PCT) Общий объем тромбоцитов в крови (тромбоцитокрит),%
(PDW) Ширина распределения тромбоцитов по объему,фл
(PLT) Тромбоциты,10*9/л
(RBC) Эритроциты,10*12/л
(RDW-CV)Ширина распределения эритроцитов,%
(RDW-SD)Ширина распределения эритроцитов,фл
(WBC) Лейкоциты,10*9/л
Citrobacter spp,КОЕ/г фекалий
E.coli гемолитические,КОЕ/г
E.coli гемолитические,КОЕ/г фекалий
E.coli лактозонегативные,КОЕ/г
E.coli лактозонегативные,КОЕ/г фекалий
E.coli типичные,КОЕ/г
E.coli типичные,КОЕ/г фекалий
Enterobacter spp,КОЕ/г фекалий
HBsAg,
Klebsiella spp,КОЕ/г фекалий
MCHC,г/дл
Neisseria gonorrhoeae,
Proteus spp,КОЕ/г фекалий
Pseudomonas aeruginosa,КОЕ/г фекалий
Rh-принадлежность,
Staphylococcus aureus,КОЕ/г
Staphylococcus aureus,КОЕ/г фекалий
Staphylococcus aureus,КОЕ/мл
T3 свободный,пмоль/л
anti-HCV суммарные,
anti-HIV 1/2,
anti-Treponema pallidum,
"АТ к внутр.фактору Кастла, IgG",отн.ед/мл
АТ-ТГ,МЕ/мл
АТ-ТПО,МЕ/мл
АЧТВ,сек
АЧТВ (ratio),
Абсолютное количество базофилов,10^9/л
Абсолютное количество лимфоцитов,10^9/л
Абсолютное количество моноцитов,10^9/л
Абсолютное количество нейтрофилов,10^9/л
Абсолютное количество нормобластов,10*9/л
Абсолютное количество нормобластов,10^9/л
Абсолютное количество эозинофилов,10^9/л
АлАТ,Ед/л
Альфа-амилаза панкреатическая,Ед/л
Амилоидные тельца,
Амилоидные тельца,п/зр
Антистрептолизин О (АСЛО),МЕ/мл
Антитела IgA к глиадину,Ед/мл
Антитела IgA к тканевой трансглутаминазе,Ед/мл
Антитела IgG к глиадину,Ед/мл
Антитела IgG к тканевой трансглутаминазе,
Антитела IgM к возбудителю коклюша,КП
Антитела к Chlamydia pneumonia IgМ,КП
Антитела к Mycoplasma pneumonia IgM,КП
"Антитела к париетальным клеткам желудка (PCA), IgG",RU/ml
Антитела к тиреоидной пероксидазе,МЕ/мл
Антитела к эндомизию IgA,титр
АсАТ,Ед/л
Базофилы,10^9/л
Бактерии,п/зр.
Бифидобактерии,КОЕ/г
Бифидобактерии,КОЕ/г фекалий
Витамин 25(ОН) D,нг/мл
Витамин B12,пг/мл
"Витамин D, 25-гидрокси (кальциферол), ИХЛ",нг/мл
ГСПГ,нмоль/л
Гамма-глутамилтрансфераза,МЕ/л
Гемоглобин общий,г/л
"Глобулин, связывающий половые гормоны (ГСПГ)",нмоль/л
Глюкоза (венозной крови),ммоль/л
Грибы рода Candida,КОЕ/г фекалий
Группа крови,
Диплококки,п/зр
Дрожжевые клетки,
Другие неферментирующие бактерии,КОЕ/г фекалий
Другие стафилококки,КОЕ/г фекалий
Другие условно-патогенные грибы,КОЕ/г фекалий
Другие энтеробактерии,КОЕ/г фекалий
Железо,мкмоль/л
ИСТ,%
Иммуноглобулин IgE общий,МЕ/мл
Индекс атерогенности,%
Калий,ммоль/л
Кальпротектин,
Клостридии,КОЕ/г фекалий
Количество лейкоцитов,10^9/л
Количество тромбоцитов,10^9/л
Количество эритроцитов,10^12/л
Контроль взятия материала,lg
Креатинкиназа (КФК),МЕ/л
Крупные незрелые клетки,10^9/л
ЛГ,мМЕд/мл
ЛПВП,мМоль/л
ЛПНП,мМоль/л
ЛПОНП,мМоль/л
Лактатдегидрогеназа,Ед/л
Лактобактерии,КОЕ/г
Лактобактерии,КОЕ/г фекалий
Латентная железосвязывающая способность,мкмоль/л
Лейкоциты,
Лейкоциты,п/зр
Лецитиновые зерна,
Лецитиновые зерна,п/зр
Лимфоциты %,%
Липопротеин (а),мг/дл
Лютеинизирующий гормон,мМЕ/мл
МНО/INR,
МСHС,г/дл
Магний,ммоль/л
Макрофаги,
Макрофаги,п/зр
Мицелий грибов,
Моноциты,10^9/л
Моноциты %,%
Мочевая кислота,мкмоль/л
Натрий,ммоль/л
Нейтрофилы сегментоядерные,x10*9/л
Нейтрофилы сегментоядерные %,%
Нити мицелия,п/зр.
Нитриты,
Нормобласты,%
Нормобласты,10*9/л
ОЖСС,мкмоль/л
Определение антигена Coronavirus (SARS-CoV-2),
Относительное количество базофилов,%
Относительное количество лимфоцитов,%
Относительное количество моноцитов,%
Относительное количество нейтрофилов,%
Относительное количество нормобластов,%
Относительное количество нормобластов,количество/100 клеток
Относительное количество эозинофилов,%
Посев мочи на флору,
Пролактин,мкг/л
Протромбин по Квику,%
Протромбиновое время,сек
РНК вируса SARS CoV-2,
Реакция на кровь (гемоглобин),
Ревматоидный фактор,МЕ/мл
Свободный тестостерон,пг/мл
Свободный тироксин (Т4),нг/дл
Сегментоядерные нейтрофилы,10^9/л
Скорость оседания эритроцитов,мм/ч
Слизь,
Слизь,п/зр.
Сперматозоиды,
Сперматозоиды,п/зр
Споры дрожжевых грибов,п/зр.
Среднее содержание гемоглобина в 1 эритроците,пг
Среднее содержание гемоглобина в эритроцитах,г/дл
Средний объем тромбоцита,фл
Средний объем тромбоцитов в крови,фл
Сывороточное железо,мкмоль/л
Т3 свободный,пг/мл
Т4 свободный,нг/дл
ТТГ,мЕд/л
Тестостерон,нмоль/л
Тиреотропный гормон: ТТГ,мМЕ/л
Тироксин свободный,пмоль/л
Тироксин свободный (Т4 св.),пмоль/л
Тироксин свободный (св.Т4),пмоль/л
Тироксин свободный: св.Т4,пмоль/л
Триглицериды общие,мМоль/л
Трийодтиронин свободный,пмоль/л
Трийодтиронин свободный (Т3 св.),пмоль/л
"Тромбиновое время, ТВ",сек
Углеводы (по Бенедикту),%
ФСГ,мМЕд/мл
Ферритин,мкг/л
Ферритин,нг/мл
Фибриноген,г/л
Флора,
Флора,п/зр
Фолаты,нг/мл
Фолликулостимулирующий гормон (ФСГ),мМЕ/мл
Фосфатаза щелочная,Ед/л
Хлор,ммоль/л
Холестерин,ммоль/л
Холестерин не-ЛПВП,ммоль/л
Холестерин общий,мМоль/л
Холестерин-ЛПВП (липопротеины высокой плотности),ммоль/л
Холестерин-неЛПВП,ммоль/л
Цилиндры лейкоцитарные,п/зр.
Цилиндры эритроцитарные,п/зр.
Ширина распределения тромбоцитов по объему,%
Щелочная фосфатаза,Ед/л
Щелочная фосфатаза (ЩФ),Ед/л
Энтеробактерии патогенные,КОЕ/г
Энтеробактерии патогенные,КОЕ/г фекалий
Энтерококки,КОЕ/г
Энтерококки,КОЕ/г фекалий
Эозинофилы,10^9/л
Эпителий,п/зр
Эпителий почечный,п/зр.
Эпителий цилиндрический,
Эритроциты,
Эритроциты,x10*12/л
Эритроциты,п/зр
Эстераза лейкоцитов,
