test_name,unit,reference_range,count
Лимфоциты,%,19-37,17
Базофилы,%,0.00-1.00,16
Базофилы,10*9/л,0.01-0.08,16
Лейкоциты,10*9/л,4.50-11.00,16
Моноциты,%,5.00-12.00,16
Нейтрофилы,%,47.00-72.00,16
Эозинофилы,%,1.00-5.00,16
Эозинофилы,10*9/л,0.04-0.40,16
Тромбоциты,10*9/л,150-400,15
Процент крупных тромбоцитов,%,13.00-43.00,14
Среднее содержание гемоглобина в эритроците,пг,27.0-34.0,14
Средний объем тромбоцитов,фл,8.8-12.2,14
Ширина распределения тромбоцитов по объему,фл,9.7-16.7,14
Ширина распределения эритроцитов,%,11.6-14.4,14
Ширина распределения эритроцитов,фл,37.0-54.0,14
Абс количество нормобластов,10*9/л,0.00-0.03,9
Гематокрит,%,35.0-45.0,9
Гемоглобин,г/л,117-155,9
Лимфоциты,10*9/л,1.18-3.74,9
Моноциты,10*9/л,0.40-1.10,9
Нейтрофилы,10*9/л,1.56-6.13,9
Отн количество нормобластов,%,0.0-0.5,9
Эритроциты,10*12/л,3.80-5.10,9
Билирубин общий,мкмоль/л,5.0-21.0,8
Альфа-амилаза,МЕ/л,28.0-100.0,7
Гематокрит,%,39.0-49.0,7
Гемоглобин,г/л,132-173,7
Глюкоза (венозной крови) (натощак),ммоль/л,4.10-5.90,7
Лимфоциты,10*9/л,1.32-3.57,7
Моноциты,10*9/л,0.30-1.00,7
Нейтрофилы,10*9/л,1.78-5.38,7
Общий белок,г/л,64.0-83.0,7
Общий объем тромбоцитов в крови (тромбоцитокрит),%,0.17-0.32,7
С-реактивный белок,мг/л,0.00-5.00,7
Ср. концентрация гемоглобина в эритроците,г/л,319.0-356.0,7
Ср.объем эритроцита,фл,80.0-99.0,7
Эритроциты,10*12/л,4.30-5.70,7
pH,pH,5.5-7.0,6
Белок,г/л,0-0.1,6
СОЭ,мм/час,0-15,6
Мочевина,ммоль/л,2.8-7.2,5
Общий объем тромбоцитов в крови,%,0.18-0.39,5
Средний объем эритроцита,фл,81.0-100.0,5
Средняя концентрация гемоглобина в эритроците,г/л,314.0-356.0,5
Тиреотропный гормон (ТТГ),мМЕ/л,0.30-4.20,5
MCH,пг,27 - 34,4
RDW,%,11.6 - 14.8,4
Аланинаминотрансфераза (АЛТ),Ед/л,,4
Аспартатаминотрансфераза (АСТ),Ед/л,,4
Базофилы,%,< 1.0,4
Базофилы,тыс/мкл,< 0.2,4
Глюкоза,ммоль/л,0.00-1.20,4
Креатинин,мкмоль/л,74-110,4
Лейкоциты,п/зр.,0-3,4
Лейкоциты,тыс/мкл,4.5 - 11,4
Лимфоциты,%,19 - 37,4
Моноциты,%,3 - 11,4
Моноциты,тыс/мкл,0.2 - 0.95,4
Нейтрофилы,%,48 - 78,4
Относительная плотность,г/мл,1.010-1.030,4
СОЭ,мм/час,0-20,4
Тромбоциты,тыс/мкл,150 - 400,4
Холестерин общий,ммоль/л,,4
Эозинофилы,%,1 - 5,4
Эозинофилы,тыс/мкл,< 0.7,4
